"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"31","tv_s",438127.337821937,7095288.02123033,0.0245580414039377,45192.9173326773,0.0131117661954685,7095288.02123033,0.0245580414039377,45192.9173326773,0.0131117661954685,TRUE,1,0.900947658693718,NA,NA,0.0702534323059911,NA,NA,0.0702534323059911,0.272451327262228,0,40194.8869624319,0.000513891,65481090.2533626,1e-04,"2_576_2",2,576,2,1727,1,7774236.44,49517.4295541401,55453.8163156383,5936.38676149818,13453.762220604,0.206047362680601,0.301900344856613,0.271697508165166,0.91266686779986,1.09569004341165,6,FALSE,0.88129849758702,0.0427766243059881,0.507722299543821,1.25550846527082,0.147380219253036
"32","ooh_s",179161.929559418,10122475.7095002,0.0350356711158786,64474.3675764342,0.0187058699273579,10122475.7095002,0.0350356711158786,64474.3675764342,0.0187058699273579,TRUE,1,0.900947658693718,NA,NA,0.0702534323059911,NA,NA,0.0702534323059911,0.272451327262228,0,40194.8869624319,0.000513891,65481090.2533626,1e-04,"2_576_2",2,576,2,1727,1,24719081.6,157446.379617834,163796.633499494,6350.25388165942,65257.7661938093,0.655151359349006,0.43070540594783,0.414476130554465,0.409500477133429,2.44199959667975,6,FALSE,0.428992225675295,0.00448131401561765,0.3896713302245,0.468010018223503,0.747236423101824
"33","print_s",159348.924702693,3253599.67544524,0.0112612814733301,20723.5648117531,0.00601250267930528,3253599.67544524,0.0112612814733301,20723.5648117531,0.00601250267930528,TRUE,1,0.900947658693718,NA,NA,0.0702534323059911,NA,NA,0.0702534323059911,0.272451327262228,0,40194.8869624319,0.000513891,65481090.2533626,1e-04,"2_576_2",2,576,2,1727,1,1804904.93333333,11496.2097664544,13257.0889308545,1760.87916440012,6821.24924985302,0.0478369682055284,0.138438758384886,0.593347667485787,1.80264323918514,0.554740937231727,6,FALSE,1.80792328327908,0.00895682442607878,1.72912072507854,1.88569664716994,0.0206179600475191
"34","facebook_s",190503.562859538,2329303.53908204,0.0080621297661143,14836.3282744079,0.0043044458958306,2329303.53908204,0.0080621297661143,14836.3282744079,0.0043044458958306,TRUE,1,0.900947658693718,NA,NA,0.0702534323059911,NA,NA,0.0702534323059911,0.272451327262228,0,40194.8869624319,0.000513891,65481090.2533626,1e-04,"2_576_2",2,576,2,1727,1,1002234.0659765,6383.65647118789,6383.67202960468,0.0155584167887355,8163.65252633236,0.0265630827769259,0.0991104997599036,1.27883644165038,2.32411132105407,0.430271988669829,6,FALSE,1.80572136136196,0.0976526949565969,0.94930117181537,2.6563861865691,0.000280564586899339
"35","search_s",54270.4542511875,701419.561467598,0.00242773663035404,4467.6405189019,0.00129619111548011,701419.561467598,0.00242773663035404,4467.6405189019,0.00129619111548011,TRUE,1,0.900947658693718,NA,NA,0.0702534323059911,NA,NA,0.0702534323059911,0.272451327262228,0,40194.8869624319,0.000513891,65481090.2533626,1e-04,"2_576_2",2,576,2,1727,1,2429880,15476.9426751592,21354.4818700354,5877.53919487618,4019.1967440494,0.0644012269879381,0.0298449910507682,0.259689321619074,0.288664280321497,3.46423187131522,6,FALSE,0.436612998159058,0.0341106048302682,0.137438542215665,0.733732401548661,0.00264083788243609
"36","newsletter",307090.360092783,3704333.09517106,0.0128213492183807,23594.4783131914,0.00684543732526263,3704333.09517106,0.0128213492183807,23594.4783131914,0.00684543732526263,TRUE,1,0.900947658693718,NA,NA,0.0702534323059911,NA,NA,0.0702534323059911,0.272451327262228,0,40194.8869624319,0.000513891,65481090.2533626,1e-04,"2_576_2",2,576,2,1727,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,0.0702496077653113
"37","(Intercept)",0,0,0,0,0,0,0,0,0,TRUE,1,0.899667237346189,NA,NA,0.0707060473312653,NA,NA,0.0707060473312653,0.252574783973185,0,65171.1331815215,0.000895356,65481090.2533626,1e-04,"2_579_1",2,579,1,1735,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"38","trend",0.408180974360291,115569916.586087,0.400022555756392,736114.118382722,0.215087356317935,115569916.586087,0.400022555756392,736114.118382722,0.215087356317935,TRUE,1,0.899667237346189,NA,NA,0.0707060473312653,NA,NA,0.0707060473312653,0.252574783973185,0,65171.1331815215,0.000895356,65481090.2533626,1e-04,"2_579_1",2,579,1,1735,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"39","season",0.366105958664467,125510.524361431,0.000434430016153776,799.430091474082,0.000233587837323297,125510.524361431,0.000434430016153776,799.430091474082,0.000233587837323297,TRUE,1,0.899667237346189,NA,NA,0.0707060473312653,NA,NA,0.0707060473312653,0.252574783973185,0,65171.1331815215,0.000895356,65481090.2533626,1e-04,"2_579_1",2,579,1,1735,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
"40","holiday",0.782013214500453,2184566.72272558,0.00756144842411568,68267.7100851742,0.0199473436487807,2184566.72272558,0.00756144842411568,68267.7100851742,0.0199473436487807,TRUE,1,0.899667237346189,NA,NA,0.0707060473312653,NA,NA,0.0707060473312653,0.252574783973185,0,65171.1331815215,0.000895356,65481090.2533626,1e-04,"2_579_1",2,579,1,1735,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,FALSE,NA,NA,NA,NA,NA
